id,slug,path,scraped
13153494,birds-daisies-teal-pink-by-katerhees,/en/fabric/13153494-birds-daisies-teal-pink-by-katerhees,0
5279404,indigo-rain-by-crystal_walen,/en/fabric/5279404-indigo-rain-by-crystal_walen,0
9565030,abstract-ocean-blue-by-daily_miracles,/en/fabric/9565030-abstract-ocean-blue-by-daily_miracles,0
5544045,napoleonic-bees-faux-gilt-on-blackest-black-by-peacoquettedesigns,/en/fabric/5544045-napoleonic-bees-faux-gilt-on-blackest-black-by-peacoquettedesigns,0
7368347,dear-clementine-oranges-teal-by-crystal_walen,/en/fabric/7368347-dear-clementine-oranges-teal-by-crystal_walen,0
9987142,daisy-dreams-jumbo-by-indybloomdesign,/en/fabric/9987142-daisy-dreams-jumbo-by-indybloomdesign,0
11484029,wild-grasses-by-ninola-design,/en/fabric/11484029-wild-grasses-by-ninola-design,0
7236018,native-eucalyptus-leaves-edition-1-fabric-wallpaper-by-erin__kendal,/en/fabric/7236018-native-eucalyptus-leaves-edition-1-fabric-wallpaper-by-erin__kendal,0
4150617,nod-house-bird-by-katerhees,/en/fabric/4150617-nod-house-bird-by-katerhees,0
6743135,rustic-fall-forest-animals-les-animaux-de-la-foret-by-rebecca_reck_art,/en/fabric/6743135-rustic-fall-forest-animals-les-animaux-de-la-foret-by-rebecca_reck_art,0
703426,elephant-march-by-endemic,/en/fabric/703426-elephant-march-by-endemic,0
7967284,12-woodland-animals-baby-animals-autumn-forest-light-background-nursery-fabric-baby-girl-fabric-kids--by-utart,/en/fabric/7967284-12-woodland-animals-baby-animals-autumn-forest-light-background-nursery-fabric-baby-girl-fabric-kids--by-utart,0
9155687,galaxy-deep-space-seamless-thousands-stars-starry-night-sky-by-rebecca_reck_art,/en/fabric/9155687-galaxy-deep-space-seamless-thousands-stars-starry-night-sky-by-rebecca_reck_art,0
1503057,william-morris-strawberry-thief-intense-by-peacoquettedesigns,/en/fabric/1503057-william-morris-strawberry-thief-intense-by-peacoquettedesigns,0
8091225,dark-floral-black-roses-on-black-moody-floral-jumbo-size-by-eti-enne,/en/fabric/8091225-dark-floral-black-roses-on-black-moody-floral-jumbo-size-by-eti-enne,0
9608189,art-nouveau-poppy-red-wallpaper-by-bamokreativ,/en/fabric/9608189-art-nouveau-poppy-red-wallpaper-by-bamokreativ,0
11634796,heron-plants-light-medium-by-nina_leth,/en/fabric/11634796-heron-plants-light-medium-by-nina_leth,0
7661255,just-jellies-jellyfish-by-katerhees,/en/fabric/7661255-just-jellies-jellyfish-by-katerhees,0
10021703,sexy-mushrooms-by-cecilia_granata,/en/fabric/10021703-sexy-mushrooms-by-cecilia_granata,0
9069096,black-cat-butterfly-garden-by-boszorka,/en/fabric/9069096-black-cat-butterfly-garden-by-boszorka,0
6590171,mermaid-scales-by-elladorine,/en/fabric/6590171-mermaid-scales-by-elladorine,0
12906217,maximalist-folk-flowers-by-garabateo,/en/fabric/12906217-maximalist-folk-flowers-by-garabateo,0
8498488,boho-tropical-by-fineapple_pair,/en/fabric/8498488-boho-tropical-by-fineapple_pair,0
7812388,dnd-pattern-by-neonborealis,/en/fabric/7812388-dnd-pattern-by-neonborealis,0
9954030,mushrooms-by-reinekke,/en/fabric/9954030-mushrooms-by-reinekke,0
10888687,microscopic-worlds-garabateo-by-garabateo,/en/fabric/10888687-microscopic-worlds-garabateo-by-garabateo,0
8223425,18-moody-florals-by-utart-vintage-home-decor-antique-botany-wallpaper-dark-roses-fabric-vintage-nosta-by-utart,/en/fabric/8223425-18-moody-florals-by-utart-vintage-home-decor-antique-botany-wallpaper-dark-roses-fabric-vintage-nosta-by-utart,0
10112497,large-scale-alien-abduction-toile-de-jouy-pattern-blue-by-somecallmebeth,/en/fabric/10112497-large-scale-alien-abduction-toile-de-jouy-pattern-blue-by-somecallmebeth,0
1743921,william-morris-honeysuckle-by-peacoquettedesigns,/en/fabric/1743921-william-morris-honeysuckle-by-peacoquettedesigns,0
11160216,midcentury-sunflowers-by-ottomanbrim,/en/fabric/11160216-midcentury-sunflowers-by-ottomanbrim,0
6782514,eame-s-wildflower-meadow-watercolor-floral-botanical-easter-spring-by-hipkiddesigns,/en/fabric/6782514-eame-s-wildflower-meadow-watercolor-floral-botanical-easter-spring-by-hipkiddesigns,0
7693817,orbs-squares-orange-cream-by-chicca_besso,/en/fabric/7693817-orbs-squares-orange-cream-by-chicca_besso,0
8834187,mid-century-kaleidoscope-by-ceciliamok,/en/fabric/8834187-mid-century-kaleidoscope-by-ceciliamok,0
10263472,golden-girl-9x9-by-indybloomdesign,/en/fabric/10263472-golden-girl-9x9-by-indybloomdesign,0
8692520,bees-lemons-large-blue-original-colors-by-fernlesliestudio,/en/fabric/8692520-bees-lemons-large-blue-original-colors-by-fernlesliestudio,0
6625245,sandstone-desert-by-wren_leyland,/en/fabric/6625245-sandstone-desert-by-wren_leyland,0
10148904,art-deco-swans-navy-12-by-katerhees,/en/fabric/10148904-art-deco-swans-navy-12-by-katerhees,0
7748646,emerald-eden-by-catalinakim,/en/fabric/7748646-emerald-eden-by-catalinakim,0
12300699,cozy-night-sky-large-full-moon-stars-over-clouds-petal-solids-coordinate-navy-blue-indigo-gold-mustar-by-patricia_lima,/en/fabric/12300699-cozy-night-sky-large-full-moon-stars-over-clouds-petal-solids-coordinate-navy-blue-indigo-gold-mustar-by-patricia_lima,0
13157281,nostalgic-vintage-tile-by-garabateo,/en/fabric/13157281-nostalgic-vintage-tile-by-garabateo,0
